hotel_place_id,nearby_place_name,nearby_place_type,distance,latitude,longitude
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,Super Indo Piset Square Mall,Shopping,0.12,-69.344,107.625.683
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,Indonesian Economists Association (ISEI) - Bandung West Java Coordinator,Other,0.12,-69.347.057,1.076.242.925
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,Pickers Store,Shopping,0.12,-69.352.848,1.076.241.618
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,Dadali Telephone,Finance,0.17,-69.340.758,1.076.260.122
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,UPS Guntur Sari Pawnshop,Finance,0.21,-69.367.372,107.626.473
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,Continent Hotel,Lodging,0.23,-69.332.984,107.625.786
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,Bandung City Manpower Office,Other,0.28,-69.331.461,1.076.265.127
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,University of Indonesia Bandung,Education,0.28,-69.331.541,107.623.957
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,Karees Youth Arena,Other,0.3,-69.332.282,1.076.268.959
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,Bandung City Civil Service Police Unit Office,Security,0.3,-69.331.702,1.076.268.061
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,CDM CIMB Niaga (Buah Batu),Finance,0.3,-69.373.896,1.076.235.205
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,Bina Warga Vocational School,Other,0.32,-69.364.928,107.622.603
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,"Mrs. Djamilah Najmuddin Traditional Herbalist for gerd, hepatitis, STD",Health,0.32,-6.936.746,1.076.276.956
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,GenCoffee Infomedia Generation,Restaurant,0.35,-69.322.912,1.076.260.165
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,PT. Agrabudi Communication,Other,0.36,-69.368.616,1.076.280.374
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,Pertamina gas station 34.402.18 Martanegara Asri,gas station,0.4,-69.330.281,1.076.280.044
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,Raksa Insurance Bandung,Other,0.41,-69.370.909,1.076.219.633
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,BII ATM Griya Buah Batu,Finance,0.44,-69.392.131,1.076.244.033
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,Trihamas Finance,Shopping,0.45,-69.372.987,1.076.216.753
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,Nurul Fikri Tutoring School Buahbatu Bandung,Other,0.45,-69.391.822,1.076.239.974
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,Bi-Obsessed,Shopping,0.49,-6.931.986,10.762.237
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,Orphanage,Other,0.5,-69.312.319,1.076.233.902
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,Sophie Paris,Shopping,0.52,-69.349.882,1.076.205.515
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,Astrid Wedding Service,Other,0.55,-69.305.469,1.076.238.034
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,Screen And Sound,Other,0.56,-69.401.185,1.076.266.997
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,Optik Melawai Sunglasses Store Ruko Buah Batu Bandung,Health,0.57,-69.403.572,10.762.629
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,Tutorial World,Other,0.58,-6.932.026,107.621.195
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,PT. Pan Pacific Insurance - Bandung,Other,0.58,-69.344.307,1.076.200.503
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,"PT. Tugu Pratama Insurance Indonesia, Tbk Bandung Branch",Other,0.59,-69.380.055,107.620.586
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,Persona Study: The Best Private English in Bandung,Other,0.63,-69.306.076,1.076.219.944
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,PT Srikandi Diamond Motors - Student Fighter,Shopping,0.65,-69.296.772,1.076.266.092
