hotel_place_id,nearby_place_name,nearby_place_type,distance,latitude,longitude
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,Super Indo Piset Square Mall,Belanja,0.12,-69.344,107.625.683
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,Ikatan Sarjana Ekonomi Indonesia (ISEI) - Bandung Koordinator Jawa Barat,Lainnya,0.12,-6.934.705.699.999.990,1.076.242.925
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,Pickers Store,Belanja,0.12,-69.352.848,1.076.241.618
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,Kopegtel Dadali,Keuangan,0.17,-69.340.758,1.076.260.122
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,Pegadaian UPS Guntur Sari,Keuangan,0.21,-69.367.372,107.626.473
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,Hotel Benua,Penginapan,0.23,-69.332.984,107.625.786
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,Dinas Tenaga Kerja Kota Bandung,Lainnya,0.28,-69.331.461,1.076.265.127
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,UNISA Bandung,Pendidikan,0.28,-6.933.154.099.999.990,107.623.957
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,Gelanggang Taruna Karees,Lainnya,0.3,-69.332.282,1.076.268.959
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,Kantor Satpol PP Kota Bandung,Keamanan,0.3,-69.331.702,1.076.268.061
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,CDM CIMB Niaga (Buah Batu),Keuangan,0.3,-6.937.389.600.000.000,1.076.235.205
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,Bina Warga Vocational School,Lainnya,0.32,-6.936.492.799.999.990,107.622.603
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,"Ny Djamilah Najmuddin Traditional Herbalist for gerd, hepatitis, STD",Kesehatan,0.32,-6.936.746,1.076.276.956
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,GenCoffee Generasi Infomedia,Restoran,0.35,-6.932.291.199.999.990,1.076.260.165
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,PT. Agrabudi Komunika,Lainnya,0.36,-6.936.861.599.999.990,1.076.280.374
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,SPBU Pertamina 34.402.18 Martanegara Asri,SPBU,0.4,-69.330.281,1.076.280.044
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,Asuransi Raksa Bandung,Lainnya,0.41,-6.937.090.899.999.990,1.076.219.633
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,BII ATM Griya Buah Batu,Keuangan,0.44,-69.392.131,1.076.244.033
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,Trihamas Finance,Belanja,0.45,-6.937.298.699.999.990,1.076.216.753
ChIJR2XbVnzoaC4Rrcm3RoIWbQo,Bimbel Nurul Fikri Buahbatu Bandung,Lainnya,0.45,-6.939.182.199.999.990,1.076.239.974
